分类: ☘️广东频道, 名称: 佛山综合, 有效: 0, IPv4: 0, IPv6: 7, 最小延迟: 301 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 汕头综合, 有效: 0, IPv4: 0, IPv6: 5, 最小延迟: 308 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 汕头经济, 有效: 0, IPv4: 0, IPv6: 5, 最小延迟: 307 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡  卫视频道, 名称: 凤凰资讯, 有效: 1, IPv4: 4, IPv6: 1, 最小延迟: 120 ms, 最高速率: 47.47 M/s, 平均速率: 0.37 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡  卫视频道, 名称: 凤凰中文, 有效: 0, IPv4: 3, IPv6: 3, 最小延迟: 93 ms, 最高速率: 57.40 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡  卫视频道, 名称: 海峡卫视, 有效: 2, IPv4: 3, IPv6: 1, 最小延迟: 1787 ms, 最高速率: 1.34 M/s, 平均速率: 1.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.97, 视频编解码器: h264, 音频编解码器: aac
分类: 📡  卫视频道, 名称: 凤凰香港, 有效: 1, IPv4: 3, IPv6: 3, 最小延迟: 98 ms, 最高速率: 45.65 M/s, 平均速率: 0.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡  卫视频道, 名称: 厦门卫视, 有效: 0, IPv4: 3, IPv6: 4, 最小延迟: 9173 ms, 最高速率: 0.19 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡  卫视频道, 名称: 兵团卫视, 有效: 0, IPv4: 3, IPv6: 1, 最小延迟: 10161 ms, 最高速率: 0.05 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡  卫视频道, 名称: 安多卫视, 有效: 1, IPv4: 10, IPv6: 4, 最小延迟: 1022 ms, 最高速率: 0.35 M/s, 平均速率: 0.35 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
